255	2477262.00	24535	1.14	100.97	432233.00	63.07%	0.00000000	OpenOrders=50 	Percentage=0.4 	TrailingStop=0.02 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
298	2234634.00	21931	1.14	101.89	527449.00	68.67%	0.00000000	OpenOrders=45 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
319	2173758.00	24568	1.12	88.48	454790.00	63.07%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.02 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
281	2173758.00	24568	1.12	88.48	454790.00	63.07%	0.00000000	OpenOrders=50 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
274	2139198.00	22714	1.13	94.18	702837.00	63.12%	0.00000000	OpenOrders=45 	Percentage=0.45 	TrailingStop=0.02 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
285	2130577.00	22402	1.13	95.11	482253.00	70.72%	0.00000000	OpenOrders=45 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
238	2108745.00	22402	1.13	94.13	482253.00	70.72%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.021 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
5	2051505.00	17917	1.14	114.50	637330.00	78.57%	0.00000000	OpenOrders=40 	Percentage=0.65 	TrailingStop=0.024 	closeallvalue=80000	lotsize=1 	TakeProfit=1.11 	seed=1000
271	2034850.00	23781	1.12	85.57	614396.00	75.32%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
261	2034850.00	23781	1.12	85.57	614396.00	75.32%	0.00000000	OpenOrders=50 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
177	2034850.00	23781	1.12	85.57	614396.00	75.32%	0.00000000	OpenOrders=50 	Percentage=0.1 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
212	2003486.00	23781	1.12	84.25	679071.00	75.32%	0.00000000	OpenOrders=50 	Percentage=0.4 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
140	2003322.00	26418	1.11	75.83	600303.00	58.49%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
111	1992796.00	25858	1.11	77.07	583418.00	56.51%	0.00000000	OpenOrders=50 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
304	1968661.00	22718	1.12	86.66	634408.00	63.12%	0.00000000	OpenOrders=45 	Percentage=0.4 	TrailingStop=0.02 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
224	1956773.00	28022	1.12	69.83	524400.00	42.63%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.016 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
254	1939148.00	19949	1.14	97.21	462601.00	61.16%	0.00000000	OpenOrders=35 	Percentage=0.1 	TrailingStop=0.02 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
162	1929114.00	20170	1.12	95.64	475413.00	78.44%	0.00000000	OpenOrders=45 	Percentage=0.2 	TrailingStop=0.024 	closeallvalue=80000	lotsize=1 	TakeProfit=1.11 	seed=1000
299	1909022.00	26418	1.11	72.26	574590.00	58.49%	0.00000000	OpenOrders=50 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
1	1896215.00	22343	1.11	84.87	498978.00	71.03%	0.00000000	OpenOrders=45 	Percentage=0.7 	TrailingStop=0.021 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
305	1890032.00	28060	1.10	67.36	522543.00	55.20%	0.00000000	OpenOrders=50 	Percentage=0.5 	TrailingStop=0.018 	closeallvalue=80000	lotsize=1 	TakeProfit=1.11 	seed=1000
248	1878120.00	20127	1.11	93.31	419810.00	78.44%	0.00000000	OpenOrders=45 	Percentage=0.65 	TrailingStop=0.024 	closeallvalue=80000	lotsize=1 	TakeProfit=1.11 	seed=1000
264	1799831.00	18527	1.14	97.15	506056.00	58.12%	0.00000000	OpenOrders=35 	Percentage=0.55 	TrailingStop=0.02 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
207	1716241.00	17878	1.13	96.00	515425.00	62.45%	0.00000000	OpenOrders=35 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
282	1711601.00	18481	1.13	92.61	599092.00	58.12%	0.00000000	OpenOrders=35 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
262	1703373.00	26784	1.10	63.60	404925.00	56.72%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.018 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
283	1689890.00	21194	1.11	79.73	549340.00	82.36%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.021 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
280	1678428.00	19771	1.12	84.89	526542.00	78.79%	0.00000000	OpenOrders=40 	Percentage=0.35 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
189	1670582.00	26163	1.09	63.85	435423.00	70.14%	0.00000000	OpenOrders=50 	Percentage=0.1 	TrailingStop=0.02 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
291	1661569.00	26163	1.09	63.51	435423.00	70.14%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.02 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
62	1619029.00	24480	1.10	66.14	540300.00	58.65%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.019 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
184	1605100.00	24469	1.10	65.60	463826.00	58.65%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
251	1602771.00	25989	1.09	61.67	455573.00	56.51%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
315	1600279.00	20432	1.11	78.32	413896.00	79.98%	0.00000000	OpenOrders=40 	Percentage=0.35 	TrailingStop=0.02 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
233	1532532.00	27272	1.08	56.19	393236.00	63.47%	0.00000000	OpenOrders=50 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
158	1486260.00	24411	1.08	60.88	914034.00	74.06%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
227	1476865.00	17570	1.12	84.06	600756.00	58.12%	0.00000000	OpenOrders=35 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
193	1476865.00	17570	1.12	84.06	600756.00	58.12%	0.00000000	OpenOrders=35 	Percentage=0.1 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
220	1475844.00	21152	1.10	69.77	542234.00	57.66%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
317	1467305.00	21949	1.09	66.85	822545.00	75.02%	0.00000000	OpenOrders=45 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
4	1467305.00	21949	1.09	66.85	822545.00	75.02%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
243	1464002.00	29054	1.09	50.39	449626.00	43.99%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.015 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
287	1459975.00	17878	1.11	81.66	580485.00	62.45%	0.00000000	OpenOrders=35 	Percentage=0.3 	TrailingStop=0.021 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
247	1457716.00	18579	1.09	78.46	573900.00	80.09%	0.00000000	OpenOrders=40 	Percentage=0.2 	TrailingStop=0.024 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
295	1452021.00	23066	1.09	62.95	861442.00	65.77%	0.00000000	OpenOrders=45 	Percentage=0.7 	TrailingStop=0.02 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
268	1444572.00	23413	1.10	61.70	541299.00	51.53%	0.00000000	OpenOrders=35 	Percentage=0.1 	TrailingStop=0.017 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
267	1443215.00	19640	1.10	73.48	471163.00	66.73%	0.00000000	OpenOrders=35 	Percentage=0.6 	TrailingStop=0.021 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
312	1439581.00	23520	1.09	61.21	505873.00	57.55%	0.00000000	OpenOrders=40 	Percentage=0.2 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
309	1428047.00	25014	1.08	57.09	718734.00	65.05%	0.00000000	OpenOrders=50 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
240	1424694.00	21152	1.10	67.36	541934.00	57.66%	0.00000000	OpenOrders=35 	Percentage=0.2 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
270	1424028.00	19932	1.10	71.44	731724.00	78.79%	0.00000000	OpenOrders=40 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
259	1404508.00	18309	1.11	76.71	588626.00	58.12%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.02 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
289	1402219.00	19804	1.10	70.80	475633.00	66.73%	0.00000000	OpenOrders=35 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
226	1400616.00	16300	1.12	85.93	408234.00	71.75%	0.00000000	OpenOrders=30 	Percentage=0.4 	TrailingStop=0.021 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
307	1390342.00	21848	1.09	63.64	621478.00	75.02%	0.00000000	OpenOrders=45 	Percentage=0.45 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
33	1389355.00	20643	1.08	67.30	528730.00	79.75%	0.00000000	OpenOrders=45 	Percentage=0.2 	TrailingStop=0.024 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
214	1377303.00	26023	1.08	52.93	507739.00	54.79%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.018 	closeallvalue=80000	lotsize=1 	TakeProfit=1.11 	seed=1000
55	1375111.00	16894	1.11	81.40	455692.00	59.66%	0.00000000	OpenOrders=30 	Percentage=0.7 	TrailingStop=0.02 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
174	1369613.00	19553	1.10	70.05	267483.00	52.36%	0.00000000	OpenOrders=30 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
160	1340848.00	25447	1.08	52.69	417345.00	62.71%	0.00000000	OpenOrders=45 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
114	1333172.00	16743	1.11	79.63	584214.00	62.45%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.021 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
166	1321227.00	19804	1.09	66.72	475633.00	66.73%	0.00000000	OpenOrders=35 	Percentage=0.2 	TrailingStop=0.021 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
219	1295727.00	21057	1.09	61.53	494809.00	57.66%	0.00000000	OpenOrders=35 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
293	1287569.00	28846	1.08	44.64	405512.00	46.23%	0.00000000	OpenOrders=45 	Percentage=0.55 	TrailingStop=0.016 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
188	1286963.00	17830	1.10	72.18	396156.00	63.74%	0.00000000	OpenOrders=30 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
288	1285359.00	19061	1.09	67.43	650067.00	65.65%	0.00000000	OpenOrders=35 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
265	1282404.00	19061	1.09	67.28	664065.00	65.65%	0.00000000	OpenOrders=35 	Percentage=0.3 	TrailingStop=0.021 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
302	1274448.00	26379	1.07	48.31	633263.00	66.04%	0.00000000	OpenOrders=50 	Percentage=0.15 	TrailingStop=0.021 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
25	1268253.00	19061	1.09	66.54	666009.00	65.65%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.021 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
196	1267516.00	26379	1.07	48.05	633263.00	66.04%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
194	1259297.00	32401	1.08	38.87	383111.00	44.84%	0.00000000	OpenOrders=50 	Percentage=0.6 	TrailingStop=0.014 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
99	1228752.00	20584	1.06	59.69	442712.00	81.31%	0.00000000	OpenOrders=50 	Percentage=0.1 	TrailingStop=0.03 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
146	1223861.00	27367	1.08	44.72	496632.00	52.81%	0.00000000	OpenOrders=45 	Percentage=0.1 	TrailingStop=0.016 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
6	1210889.00	17518	1.10	69.12	829691.00	58.35%	0.00000000	OpenOrders=35 	Percentage=0.65 	TrailingStop=0.02 	closeallvalue=110000	lotsize=1 	TakeProfit=1.11 	seed=1000
223	1198987.00	21644	1.07	55.40	599549.00	68.95%	0.00000000	OpenOrders=45 	Percentage=0.7 	TrailingStop=0.021 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
156	1153795.00	19577	1.09	58.94	267653.00	52.39%	0.00000000	OpenOrders=30 	Percentage=0.7 	TrailingStop=0.02 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
252	1144977.00	18316	1.11	62.51	392620.00	44.53%	0.00000000	OpenOrders=25 	Percentage=0.55 	TrailingStop=0.016 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
209	1138829.00	18374	1.09	61.98	571486.00	54.03%	0.00000000	OpenOrders=30 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
181	1137001.00	22050	1.07	51.56	406948.00	64.88%	0.00000000	OpenOrders=40 	Percentage=0.7 	TrailingStop=0.02 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
159	1131898.00	18260	1.09	61.99	489620.00	54.03%	0.00000000	OpenOrders=30 	Percentage=0.55 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
296	1120426.00	23616	1.08	47.44	518962.00	56.44%	0.00000000	OpenOrders=35 	Percentage=0.1 	TrailingStop=0.016 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
191	1118876.00	24021	1.07	46.58	933842.00	56.55%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
57	1111047.00	28119	1.08	39.51	381327.00	43.50%	0.00000000	OpenOrders=35 	Percentage=0.55 	TrailingStop=0.014 	closeallvalue=60000	lotsize=1 	TakeProfit=1.11 	seed=1000
311	1099256.00	17415	1.08	63.12	676762.00	62.45%	0.00000000	OpenOrders=35 	Percentage=0.4 	TrailingStop=0.021 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
155	1097924.00	27272	1.06	40.26	601622.00	63.47%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
273	1097626.00	27272	1.06	40.25	601820.00	63.47%	0.00000000	OpenOrders=50 	Percentage=0.4 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
272	1095775.00	29170	1.06	37.57	523578.00	52.35%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.016 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
133	1092201.00	27272	1.06	40.05	603747.00	63.47%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
300	1091662.00	18641	1.06	58.56	367237.00	67.45%	0.00000000	OpenOrders=45 	Percentage=0.5 	TrailingStop=0.03 	closeallvalue=40000	lotsize=1 	TakeProfit=1.11 	seed=1000
65	1062824.00	15153	1.10	70.14	481703.00	57.23%	0.00000000	OpenOrders=30 	Percentage=0.15 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
37	1058109.00	25112	1.06	42.14	890808.00	68.65%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
215	1055129.00	18386	1.08	57.39	614546.00	58.35%	0.00000000	OpenOrders=35 	Percentage=0.65 	TrailingStop=0.02 	closeallvalue=90000	lotsize=1 	TakeProfit=1.11 	seed=1000
320	1030570.00	23648	1.06	43.58	476146.00	74.08%	0.00000000	OpenOrders=45 	Percentage=0.45 	TrailingStop=0.021 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
310	1001603.00	25065	1.06	39.96	889188.00	76.37%	0.00000000	OpenOrders=50 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
161	997109.00	33037	1.07	30.18	313099.00	38.08%	0.00000000	OpenOrders=45 	Percentage=0.3 	TrailingStop=0.011 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
206	982332.00	32143	1.06	30.56	510090.00	40.32%	0.00000000	OpenOrders=50 	Percentage=0.45 	TrailingStop=0.014 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
101	973105.00	29397	1.06	33.10	570434.00	46.26%	0.00000000	OpenOrders=40 	Percentage=0.3 	TrailingStop=0.014 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
205	971144.00	33794	1.07	28.74	352813.00	36.92%	0.00000000	OpenOrders=50 	Percentage=0.2 	TrailingStop=0.011 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
245	966850.00	12257	1.11	78.88	422194.00	53.45%	0.00000000	OpenOrders=25 	Percentage=0.55 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
292	964618.00	17880	1.08	53.95	653567.00	55.14%	0.00000000	OpenOrders=30 	Percentage=0.7 	TrailingStop=0.019 	closeallvalue=70000	lotsize=1 	TakeProfit=1.11 	seed=1000
165	964383.00	9935	1.13	97.07	323494.00	42.31%	0.00000000	OpenOrders=20 	Percentage=0.4 	TrailingStop=0.02 	closeallvalue=120000	lotsize=1 	TakeProfit=1.11 	seed=1000
242	962333.00	19536	1.07	49.26	622363.00	62.91%	0.00000000	OpenOrders=35 	Percentage=0.5 	TrailingStop=0.019 	closeallvalue=100000	lotsize=1 	TakeProfit=1.11 	seed=1000
